Date,NR,WR,SR,ER,NER,All India
01-Dec-25,62811,70725,51909,22207,2931,206206
02-Dec-25,67576,71668,54830,22621,2979,215296
03-Dec-25,67576,71668,54830,22621,2979,215296
04-Dec-25,67056,72242,53543,22749,2943,214100
05-Dec-25,68163,73376,54506,22636,2951,217918
06-Dec-25,66787,73300,53042,22488,2910,213934
07-Dec-25,65893,70411,50708,21668,2725,207002
08-Dec-25,67532,72728,55180,22917,2963,216110
09-Dec-25,68547,74761,54574,23725,3028,220397
10-Dec-25,69449,74337,56518,23970,3008,222472
11-Dec-25,66561,75581,55975,23408,2993,221088
12-Dec-25,68306,75454,57912,23420,2959,224754
13-Dec-25,66558,75948,56848,23055,2920,221577
14-Dec-25,64290,74352,54780,21634,2720,214183
15-Dec-25,65196,76242,58601,23123,2964,220255
16-Dec-25,67753,76332,59005,23114,2998,224344
17-Dec-25,69735,76964,57756,23228,2977,226989
18-Dec-25,68675,77630,58118,23960,3011,227084
19-Dec-25,68822,76936,59845,24145,2962,230406
20-Dec-25,69389,77991,58256,24314,2717,229251
21-Dec-25,69585,77021,57260,22839,2783,226534
22-Dec-25,69382,78095,60542,24120,2838,230405
23-Dec-25,69802,78495,60510,23867,2949,231308
24-Dec-25,71642,79568,61666,24425,2937,236096
25-Dec-25,71269,79705,60849,24520,2475,236036
26-Dec-25,72447,80683,62210,24029,2928,239059
27-Dec-25,70298,79856,60303,24260,2963,232606
28-Dec-25,67702,78291,57249,23217,2779,226172
29-Dec-25,71395,79866,60934,24159,2876,236595
30-Dec-25,71907,80743,62688,24270,2966,239690
31-Dec-25,72499,80699,64329,24015,2954,241201
